feature,coefficient,importance
cheap,-1.411111803133467,1.411111803133467
loose,-1.2313827837264235,1.2313827837264235
premium,1.152333966556662,1.152333966556662
excellent,1.1451792475809444,1.1451792475809444
soft,1.117401026027325,1.117401026027325
highly,1.1116841787425427,1.1116841787425427
outstanding,1.0550730243271211,1.0550730243271211
terrible,-1.020653370736957,1.020653370736957
perfect,1.002519970506676,1.002519970506676
breathable,0.9917441198601431,0.9917441198601431
durable,0.9782964209166125,0.9782964209166125
worst,-0.9655415611684952,0.9655415611684952
uncomfortable,-0.9518238889099968,0.9518238889099968
disappointed,-0.9463519623682637,0.9463519623682637
poor,-0.935700366963031,0.935700366963031
flimsy,-0.9322196614572456,0.9322196614572456
faded,-0.9294691241488621,0.9294691241488621
stylish,0.8989908203410416,0.8989908203410416
awful,-0.8685204096275045,0.8685204096275045
thin,-0.8488750486469808,0.8488750486469808
horrible,-0.835132114392525,0.835132114392525
fit,0.8089499560160812,0.8089499560160812
love,0.7821802384985546,0.7821802384985546
great,0.777621930722478,0.777621930722478
comfortable,0.7526125233573463,0.7526125233573463
comfy,0.7498967047427141,0.7498967047427141
beautiful,0.7128836748804798,0.7128836748804798
superb,0.6838052368043672,0.6838052368043672
awesome,0.6592488331838432,0.6592488331838432
scratchy,-0.6249911010935583,0.6249911010935583
bad,-0.6132962674366377,0.6132962674366377
light,0.6049045701639876,0.6049045701639876
chemical,-0.5919186888179201,0.5919186888179201
smell,-0.5813331806087926,0.5813331806087926
avoid,-0.5801063919605368,0.5801063919605368
perfectly,0.5664981980833801,0.5664981980833801
build,0.5618458258857042,0.5618458258857042
look cheap,-0.5579836108397402,0.5579836108397402
overpriced,-0.5576755320567628,0.5576755320567628
clean,0.5543237661608604,0.5543237661608604
highquality,0.5406543360287681,0.5406543360287681
recommend,0.5146740504623291,0.5146740504623291
highly recommend,0.5146740504623291,0.5146740504623291
sole,-0.4971537714178556,0.4971537714178556
breathable fit,0.49114825966067116,0.49114825966067116
seam,-0.4911129880541305,0.4911129880541305
satisfied,0.48532265825827275,0.48532265825827275
build quality,0.4744470646992755,0.4744470646992755
well,0.4677611583417851,0.4677611583417851
dull,-0.46522938675193864,0.46522938675193864
look stylish,0.46340344906930864,0.46340344906930864
fit perfectly,0.4631794648751227,0.4631794648751227
plastic,-0.4530995093888276,0.4530995093888276
feel cheap,-0.4527740905102411,0.4527740905102411
shrank,-0.4511440560622856,0.4511440560622856
fit perfect,0.4457780345852954,0.4457780345852954
wash,-0.43897020211571897,0.43897020211571897
stitching loose,-0.43506058543682957,0.43506058543682957
neat,0.43221495626203793,0.43221495626203793
stitch,-0.43181318805964963,0.43181318805964963
excellent premium,0.4219516329076026,0.4219516329076026
rough,-0.4199481962658236,0.4199481962658236
product disappointed,-0.4162876086814696,0.4162876086814696
faded color,-0.4136072818324521,0.4136072818324521
broke,-0.4119324808836301,0.4119324808836301
